,MD_EARN_WNE_P10,MD_EARN_WNE_P8,MD_EARN_WNE_P6,INSTNM,population_2019,GRAD_DEBT_MDN,FIRST_GEN,MARRIED,ADM_RATE,SAT_AVG,POVERTY_RATE,Geographic Area,Geographic Area,LN_MEDIAN_HH_INC,COSTT4_A,UGDS_WHITE,MEDIAN_HH_INC,MD_EARN_WNE_P8,MD_EARN_WNE_P10
0,41200,38300,35100,University of Alabama at Birmingham,"209,403",22500,0.341223671,0.105086641,0.9211,1220.0,10.90999985,"birmingham , alabama","birmingham , alabama",10.85999966,24347.0,0.5717,55735.22,38300,41200
1,39600,38300,30700,Amridge University,"198,525",27334,0.5125,0.236486487,,,10.64999962,"montgomery , alabama","montgomery , alabama",10.84000015,17680.0,0.2393,53683.7,38300,39600
2,46700,41800,36200,University of Alabama in Huntsville,"200,574",21607,0.310132159,0.100460444,0.8087,1314.0,9.369999886,"huntsville , alabama","huntsville , alabama",10.93000031,23441.0,0.7167,58688.62,41800,46700
3,27700,25200,22600,Alabama State University,"198,525",32000,0.343434343,0.00798722,0.9774,972.0,16.95999908,"montgomery , alabama","montgomery , alabama",10.67000008,21476.0,0.0167,46065.2,25200,27700
4,44500,40300,37400,The University of Alabama,"101,129",23250,0.225712689,0.053705693,0.5906,1252.0,10.05000019,"tuscaloosa , alabama","tuscaloosa , alabama",10.89999962,29424.0,0.7774,57928.41,40300,44500
5,33300,33500,30100,Auburn University at Montgomery,"198,525",24826,0.38189609,0.072967679,0.9281,1084.0,13,"montgomery , alabama","montgomery , alabama",10.77999973,18291.0,0.452,50723.81,33500,33300
6,48800,44900,39500,Auburn University,"66,259",21281,0.172647119,0.022261976,0.7543,1289.0,9.590000153,"auburn , alabama","auburn , alabama",10.89999962,31282.0,0.8078,59005.4,44900,48800
8,33400,34200,26900,South University-Montgomery,"198,525",25166,0.472288337,0.236707784,,,10.69999981,"montgomery , alabama","montgomery , alabama",10.88000011,29309.0,0.2835,55764.27,34200,33400
9,35400,32600,29700,Faulkner University,"198,525",24363,0.430031949,0.167610419,0.5227,1069.0,12.31000042,"montgomery , alabama","montgomery , alabama",10.81000042,33944.0,0.4238,52330.99,32600,35400
11,37800,31600,27900,Herzing University-Birmingham,"209,403",22730,0.520903265,0.231272819,0.95,,15.01000023,"birmingham , alabama","birmingham , alabama",10.68999958,26128.0,0.2813,46871.43,31600,37800
